brewery,beer name,size,style,description from brewer,color,ABV,OG,FG,IBU,availability,calories,calories/serving size,ingredients,grains,Hops,yeast,other ingredients,distributor,item,upc,reg price,post off,net case price,unit price,deposit,suggested +20%,suggested +25%,suggested +30%,,,,
Dieu du ciel,NATIVITÉ BLONDE,,weizen,"Brewed with malted wheat, this golden coloured effervescent beer has a thick, compact head which sticks to the glass. The aromas are those of clove, banana and fresh baked bread. The bitterness is quite subtle, resulting in a beer that is smooth and fruity with a touch of acidity in the aftertaste.",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,NATIVITÉ ROUSSE,,dunkel weizen,"A red beer with a dense head, the Nativité Rousse offers aromas of lightly roasted wheat and a touch of clove. It is full-bodied with a trace of sweetness and balanced with a touch of acidity. The bitterness of the hops makes its presence felt subtly in the aftertaste.",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,NEUVAINE,,absinth beer,"Neuvaine is a very special beer created to highlight the pronounced bitterness of absinth. It is amber in color, lightly sweet and with just a hint of hops. However, the absinth (we're talking here about the plant, and not the liquor!) added during the boil brings an extreme bitterness to the beer. Fennel was also added to tentatively balance the flavours, and also to recall the mythic liquor made with absinth. Neuvaine is without a doubt the most bitter beer we ever brewed!",,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,OCHAMENA BI-RU,,buckwheat ,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,Ovation,,pale ale,"Pale ale brewed with the ""Bravo"" hops variety. Instead of being dry hopped, ""Bravo"" was used in hopback.",,5,,,,,,,,,bravo,,,,,,,,,,,,,,,,,
Dieu du ciel,PÉNOMBRE,,black ipa,"Again, an american invention. This style was born at the ""Vermont pub and brewery"" around 1997. It could be said that this beer tries to be an hybrid between a regular IPA and a porter. The Pénombre presents a light body and well expressed tofferaction tastes. The whole is however dominated by an evident bitterness, which stays always in balance with the other tates found in the beer. In the after taste, the bitterness and hops flavours are growing slowly dut surely, sip after sip.",,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,PREMIÈRE COMMUNION,,scottish Ale,"The Première Communion is the little sister of and an introduction to the Scotch Ale. With less alcohol and somewhat thinner than a Scotch Ale, it nevertheless has the same flavours, but in lesser intensity.",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,PREMIÈRE NEIGE,,wit Beer,"The Première Communion is the little sister of and an introduction to the Scotch Ale. With less alcohol and somewhat thinner than a Scotch Ale, it nevertheless has the same flavours, but in lesser intensity.",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,QUINTESSENCE,,Strong English Beer,"A very strong beer brewed only once in honour of Dieu du Ciel’s 5th anniversary. It's a scotcha le and barley wine hybrid. Brewed in part with English smoked malt (smoked with peat moss), this beer was aged for several months in oak barrels previously used for the maturation of maple sap liquor produced by Domaine Acer. To the taste, it has a strong alcohol flavour rounded out with subtle fragrances of red fruit, caramel, smoke, maple, vanilla and oak. Since its production, this beer never ceases to amaze with its infallible capacity to age gracefully.",,10.5,,,,limited,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,RÉSURRECTION,,porter,"As black as ebony, the porter is the ancestor of the stout. The beer has a certain dryness which is reminiscent of dark chocolate. Unlike the stout, the porter is not pressurized with nitrogen. The roasted flavours are in harmony with the malt, caramel, and fruity tastes. The distinct presence of the hops units all of these wonderful elements and gives the beer a mildly bitter taste. This is not a well known beer but it deserves to be rediscovered for its wonderful qualities and flavours which are quite distinguishable from those of a stout.",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,RETOUR AUX RACINES,,authentic rootbeer,"This is a traditional version of a root beer. It is brewed with teaberry and vanilla, making it a very refreshing beer. Our ancestors would be jealous! The Retour aux Racines was specially brewed to celebrate the 8th anniversary of Dieu du Ciel!",,5,,,,limited,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,REVENANTE,,smoked porter,"Dark to the point of being almost black, this beer has a certain dryness which is reminiscent of dark chocolate. Beyond the smoky taste, which is quite dominant, there are also flavours of malt, caramel and fruits. The hops make their presence known and unite all of the flavours to give the beer a mildly bitter taste.",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,RIGOR MORTIS BLONDE,,abbey Ale,"This monastic blond beer’s bouquet is the result of a large array of floral and alcoholic esters which are complemented by a light and delicate fragrance of malts, fruit and hops. This medium-bodied beer has a fruity and delicately sweet flavour with a hint of alcohol. The aftertaste is a discrete display of hoppy bitterness. The Rigor Mortis are complex beers designed and brewed with patience and care in the tradition of the great Belgian Abbey beers.",,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,RIGOR MORTIS DOUBLE,,dubbel,"Rigor Mortis Double is a brown ale inspired from the classic Dubbel style brewed by Trappist monks. Containing very little hops, this beer presents almost no bitterness but instead malty, sweet, chocolate and caramel flavors. Coming from the yeast strain we use, complex red fruits and spices flavors are also found in the beer.",,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,RIGOR MORTIS TRIPLE,,tripel,"Blond like a ray of sunlight, crowned by thick foam and sustained by a pronounced effervescence, this beer is the delight of all our customers! Its bouquet is the result of a large array of floral and fruity esters which are complemented by a light and delicate fragrance of malts and hops. The first draught reveals a full-bodied beer with a malty sweetness and a warm touch of alcohol. A hint of acidity is discovered in the aftertaste, but it is quickly overcome by the sharp bitterness of the hops. The Rigor Mortis are complex beers designed and brewed with patience and care in the tradition of the great Belgian Abbey beers.",,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,SAISON ST-LOUIS,,saison,"The brewing of the Saison St-Louis is inspired by the beers that are brewed in the south-west of Belgium. The term “Saison” refers to a family of beers rather than a precise style. In the old days, this beer was brewed on farms where there was a brewery that served the needs of the workers and the owners. These breweries produced the Saison during the winter months so that they could drink the beer in the summer, when it was too hot to brew. To preserve the beer over several months, the beers had to be stronger in alcohol content and/or more hops were added than in other beers. The artisan or small scale production of these beers made it so that the recipes varied wildly from one brewery to another. The grain used depended on the cereals available at the farm when the beer was being brewed: barley, wheat, rye, buckwheat, or spelt. The malt drying procedures, being more archaic at the time, made for beers that were much darker than they are today. Today, these beers tend to be blond. The use of spices was left to the whim of the brewer, but they were always used in moderation, and never to override the other flavours in the beer. It used to be a top fermenting beer, where the starter culture was mixed with different strains of yeast and lactate producing bacteria. With the evolution of brewing methods and knowledge in microbiological techniques, the lactic character of the beer disappeared over time. The Saison St-Louis is a contemporary version of the style. It is brewed with pale barley malt and a portion of raw wheat. The hoppiness of the beer comes from the use of English hops. Flavoured with coriander, it is a blond beer, very mildly acidic, of medium bitterness, full-bodied without being sweet, and has cookie and citrus flavours. This is the perfect thirst quencher after a hard day’s labour on the farm!",,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,SAUGRENUE,,cherry porter,Porter to which sour cherries have been added at the end of the fermentation,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,SHIZENBAKUSHU,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,SIXIÈME SOIR,,imperial pilsner,"This beer was specially brewed for Dieu du Ciel’s sixth anniversary. It reflects the recent tendency of American brewers to push all beer styles to the extremes. This lager is therefore quite strong in alcohol and it has a sharp but delicate bitterness, like all pilsners. The beer is full-bodied and well balanced thanks to the delicate sweet flavours that come through.",,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,SOLSTICE D'ÉTÉ AUX CERISES,,wheat,"German inspired sour wheat beer. The obvious and domineering acidity of this beer is obtained by letting the unboiled wort go sour for several days. The Solstice d’Été is made complete by the addition, during the fermentation process, of a phenomenal quantity of whole fruit (raspberries or cherries) which compensate for the sourness of the beer. The result is a very refreshing beer where both acidity and fruity flavours dominate wholeheartedly.",,5.5,,,,summer,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,STE-FLANELLE,,Imperial Pale Ale,"Imperial Pale ale brewed with the ""Centennial"" hops variety. Instead of being dry hopped, ""Centennial"" was used in hopback.",,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,Takashi,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,Umami,,,"The Umami is a red German beer, hardly fruity, but with lovely malt and cereal flavours complemented by a delicate bitterness. Morels, added in very large quantities in the beer, are very subtle in the bouquet and in the mouth. They bring about a mild smoky taste and surround all the other flavours in a veil of delicate sweetness, as well as giving the beer certain dryness.",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,VAISSEAU DES SONGES,,IPA,"This style of beer was conceived by the English, during the time of colonial England, to survive the long trip overseas to India. It is a more elaborate version of the English Pale Ales, as more hops are added and the level of alcohol is increased. These two factors are important for better beer conservation. The result is a beer with sharp bitter aromas and flavours. To the taste, the bitterness is counterbalanced by the caramel malts which bring a touch of sweet maltiness to the beer.",,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieu du ciel,VOYAGEUR DES BRUMES,,ESB,This mahogany coloured beer has a caramel malt bouquet accompanied by the light aroma of hops. The caramel malt taste sails wonderfully into the mouth alongside a fruity taste brought about by a trio of hops.,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,IPA,,IPA,"IPA stands for India Pale Ale and ours is an American version of the classic style. IPA's namesake lies in its colonial roots. British soldiers on their way to India drank a lot of beer, but found it would go stale on the long voyages. Meanwhile, brewers knew that by adding more hops the beer would stay fresh. Voila! A new style was born and it is one we are proud to brew. Southern Tier IPA is tripled on its journey to your glass for a fully aromatic experience.",11.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,phin & matt's,,american pale ale,"When we sat down to collaborate on this beer, we knew we had to create something extraordinary. After sampling a wide array of great beers, we hit upon an idea: use vast amounts of whole hops, the finest malted barley North America has to offer, and crystal filtered artesian water. Thus creating this classic American style pale ale.",6.9,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,porter,,porter,"Porter is our darkest beer, but not necessarily our strongest. It is widely held that the darker the beer, the stronger the beer, but this is summarily false. The contribution of color comes directly from the color of malt that we use. Some malt is roasted to achieve dark color and coffee-like flavor which in turn get transferred to the beer. Our Porter is richly complex with overtones of chocolate and espresso beans followed by a subtle flavor of hops. It's a nourishing beer without being too sweet or filling.",170,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,raspberry wheat beer,,raspberry wheat,"A golden wheat beer brewed with the finest North American malted barley and wheat. It's then lightly hopped with the choicest European varieties. This smooth, crisp golden wheat beer is then finished with a hint of raspberry. Enjoy this beer any time of year.",3.2,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,hop sun,,american wheat Ale,"Pour Hop Sun Summer Wheat Beer into a pint glass, give it a long whiff and you'll realize that this isn't your average wheatbeer. Filtered to a golden clarity and dry-hopped to perfection, Hop Sun is a fantastic session ale in which flavors of wheat, barley and hops commingle to a refreshing and zesty conclusion. Hints of lemon and sweet malts waft to the fore as a touch of bitterness contributes to Hop Sun's bright finish. Enjoy Hop Sun all summer long as a perfect balance to your outdoor recreation. Summer never tasted so good.",4.5,4.5,,,,summer,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,harvest Ale,,ESB,"Harvest Ale is our celebration of the changing weather and the sowing of hops and barley that will be used in our upcoming brews. We usher in the fall with a classic English style Extra Special Bitter of the highest order. Deep ruby in color with an even deeper hop flavor... in fact, we throw fresh English hops into every brewing vessel, then dry hop after fermentation to impart a zesty kick. This beer has real hop character that mingles with fresh malted barley for an experience that will make you wish it were fall year 'round.",3.6,5.7,,,,fall,,,,,english,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,old man winter,,old ale,"With the onset of winter, the brewer's mind turns to providing warmth. For our winter seasonal, we offer a rich and complex amalgam of hops and barley that will put the feeling back in your toes and lift your spirits above the snow. OMW throws a deep and inviting hue with a thickness that clings to the glass and the warmth of an open flame. Because of its high alcohol content, Old Man is a heady brew that encourages sipping and pondering its essential richness. Drink it fresh now, or cellar a few bottles to see how this old man becomes wiser with age.",36,8,,,,limited winter,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,raspberry porter,,raspberry poter,An ale brewed with the finest North American barley. Raspberry Porter is lightly Hopped with the choicest Pacific Northwest grown hops. Pleasant roast and chocolate-like notes give this beer a sweet and subtle body while its rich creamy head compliments its character. This delicate and smooth beer is finished with a hint of raspberries and is certain to become your holiday favorite!,86.6,4.8,,,,winter,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,chautauqua brew,,amber ale,"This ale is a tribute to the great brewing heritage of the Chautauqua Lake Region of western New York. There was a time when breweries dotted the landscape over which eagles soared. Today, the two have returned. Specially brewed for the citizens of our fine county; this beer will not be sold anywhere but here! Inspired by the former Jamestown Brewing Company, defunct for more than 75 years, this ale is brewed with only the finest ingredients and is warranted strictly pure.",4.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,unearthy imperial IPA,,imperial IPA,"At the Southern Tier Brewing Company, vigorously hopped beer is our standard and inspiration. We continue a commitment to innovation with our most aggressive offering yet. Unearthly is a manifestation of the brewer's craft; skillfully balancing art and the forces of nature to produce a divine liquid. Delicately pour a taste into a fluted glass. Smell the enchanting aromas of the hops waft forward as your first sip divulges this beer's fervent soul. To underestimate Unearthly is to trifle with the mysteries of the universe, so please consume wisely.",7.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,hoppe Imperial Extra Pale Ale,,Imperial Extra Pale Ale,"The simplicity of Hoppe tests the skill and ability of the brewer to create something truly majestic. We craft this much like a sculptor who uses only a hammer and chisel to shape stone into a masterpiece. Hoppe is spawned of these few essentials: barley, wheat, hops, yeast and water. This limited palette is an exercise in minimalism, with refined elements which are deliberately selected. This simple combination creates a golden shimmering brew infused with delicate aromas. The artful nature of this beer is exposed with the first taste. As the malt and hops create a composition of flavors, an elegant finish leaves an impression that your tastes will not soon forget.",4,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,big red Imperial Red Ale,,Imperial Red Ale,"Inspiration can sometimes be found in the strangest of places. This eccentric brew started with a single flower from a hop named Hallertau. The delicate and spicy aroma present in this flower has been responsible for generations of great beers. Hallertau hops are to a brewer what an old tractor is to a farmer: reliable. Big Red expresses the nobility of Hallertau by placing it at the forefront of this Imperial Ale. Pour it into a snifter. A swirl allows the spicy aromas to come forward as a taste to the lips reveals the complex balance between sweet malts and the bitterness of hops. Big Red's ability to please is as dependable as your grandpa's old tractor, and just as powerful--so please don't drink and drive.",15,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,gemini Imperial Blended Ale,,Imperial Blended Ale,"High in the winter sky, two parallel stick figures are visible & known as ""the twins,"" or the constellation Gemini. The astronauts of the 1960s flew as teams of two in a program named after the celestial pairing. At Southern Tier, we have our own fraternal twins, Hoppe & Unearthly. Blended together & placed in this vessel, the mission of our Gemini is to travel high & take passengers on a journey far into the heavens.",5.8,10.5,,,,limited,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,back burner Imperial Barley Wine Style Ale,,Imperial Barleywine Ale,"Long ago, British farmhouse brewers made special ales using the first runnings of the mash. These beers, now called barley wine, are brewed in the tradition of days past. At Southern Tier this long awaited brew is placed on the back burner until the start of the new year. Back Burner Barley Wine is a celebration of things to come and things remembered. It's conceived in three small batches, using voluminous amounts of barley and hops. The process starts early in the morning and ends late into the night. We hope this rare brew reignites your spirit for another trip around the sun.",15,10,,,,winter,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,über sun Imperial Summer Wheat Ale,,Imperial Summer wheat Ale,"It is through the movement of the universe that life presents itself in transformation. It is in this spirit that we make ÜberSun, a tribute to the dynamic energy of summer. The alignment of wheat and barley through this hop-infused brew embodies the solar system itself... This may be a difficult task, but one our brewers revel in! They brew a galaxy of taste into every batch. ÜberSun is the ultimate experience that will challenge you with each sip. ÜberSun Imperial Summer Wheat Beer takes off where our Hop Sun finishes. Like it’s little brother, ÜberSun is clean and full of flavor, but don’t pull an Icarus– this is one big beer! Pour a glass or drink straight from the bottle, it’s meant to be consumed wisely with friends between summer solstice and autumnal equniox.",5,8,,,,spring,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,cherry saison Imperial Oaked Aged Cherry Ale,,Imperial Cherry Saison,"Cherry season is concurrent with the best of summer weather. The days are long and warm, and the spring blossoms have gracefully turned to plump drupes. Much in the same way, our Imperial Cherry Saison undergoes subtle but noticable changes while cruising from kettle to bright tank. Like the sun ripening fruit, a pit stop makes this beer better. Cherry Saison is aged with French Oak staves, imparting overtones of spice and balancing the natural sweetness of the cherries. It is the mission of our Imperial Series to create unique beers. Cherry Saison is the first in this series to incorporate oak aging. Enjoy it as a dessert beer, or tilt it back while sitting under a shady tree on a warm summer afternoon.",4.5,8,,,,summer,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,heavy weizen Imperial Unfiltered Wheat Ale,,imperial wheat ale,"Heavy Weizen explores the inner depths of creativity and craftsmanship, taking a style of ale that is delicate and quaffable and shaping it into something exuberant and sturdy. The foundation of Heavy Weizen begins with prodigious quantities of North American malted barley and wheat. Next, the finest European hops are added to complement this ale's unique disposition by giving it spicy aromas. Its spirit is forged during fermentation where our Bavarian weizen yeast consumes sugars and creates flavors reminiscent of bananas and cloves. then by aging this ale, we allow the divergent characteristics to blend together, becoming one. To capture Heavy Weizen's spirit, this wheat ale remains unfiltered to leave some of the yeast in the bottle. Serving this ale with a wedge of lemon is recommended, but optional.",4.5,8,,,,summer,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,pumpking Imperial Pumpkin Ale,,Imperial Pumpkin Ale,"Pumking is an ode to Púca, a creature of Celtic folklore, who is both feared and respected by those who believe in it. Púca is said to waylay travelers throughout the night, tossing them on its back, and providing them the ride of their lives, from whichthey return forever changed! Brewed in the spirit of All Hallows Eve, a time of year when spirits can make contact with the physical world and when magic is most potent. Pour Pumking into a goblet and allow it’s alluring spirit to overflow. As spicy aromas present themselves, let its deep copper color entrance you as your journey into this mystical brew has just begun. As the first drops touch your tongue a magical spell will bewitch your taste buds making it difficult to escape. This beer is brewed with pagan spirit yet should be enjoyed responsibly.",5.8,9,,,,fall,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,krumpus Imperial Helles Lager,,Imperial Lager,"St. Nicholas, aka Santa Claus, is a magical figure, the bringer of gifts and an icon of holiday spirit. Forgotten by most is his evil side kick and enforcer of 'the list'. European tradition says while St. Nick is busy delivering presents to good little boys and girls, Krampus hands out punishments to the bad. A fanged, goat-horned bully, the Christmas Devil uses sticks and chains to beat the naughty children. Dark malts and aromatic hops create the diabolical spirit of this brew. It is finished with lager yeast and aged cold for no less than 30 days. This Imperial Helles Lager will warm even the darkest hearts.",,9,20,,,winter,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,jah*va Imperial Coffee Stout,,Imperial Coffee stout,"Three thousand feet above sea level in the misty mountains of Jamaica, some of the world's finest Arabica beans are hand picked on their way to becoming Blue Mountain Coffee. Halfway around the world, plump spring barley grows to maturity in the loamy soil of North America while aromatic hops are cultivated to exacting standards. Here in our kettles, these three special ingredients are blended to create a heady mixture of sweet sugar, dark roast, and complex flavor. Please enjoy this brew in moderation.",247,12,,,,spring,,,,"2 row pale, caramel, chocolate, black, roasted barley",cascade and columbus,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,crème brûlée Imperial Milk Stout,,Imperial Stout,"We are not the harbingers of truth as some may suggest but it may indeed be argued that our brewing philosophy is tantamount to a dessert with a bellicose past. How, you may ask, would a brewery determine a likeness to hard-coated custard? Our response is simple; it’s all in the power of history, and of course, the extra finesse needed to top off a contentious treat with definition. By comprehending the labyrinthine movement of time, one would not think it strange to trace the errant path of an ordinary object such as a cream dessert only to discover that it has been the cause of cultural disputes since the middle ages. The British founders of burnt cream and from Spain, crema catalana, both stand by their creative originality and we respect that, but it was the French Crème Brûlée, amid the strife of contention, that survived to represent our deliciously creamy brew.",195,10,25,,,summer,,,,"2 ros pale, dark caramet",kettle and columbus,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,oat Imperial Oatmeal Stout,,Imperial Oatmeal Stout,"This beer begins in spring when oat seeds are sown as soon as the soil can be worked. Meanwhile, select types of barley are planted with hopes that Mother Nature will be kind. Our brewers wait patiently until the legumes are mature and ready for the scythe. Upon delivery to the brewery, these ingredients are mixed together in the mash tun where they steep, creating a rich molasses-like liquid. Spicy hops are boiled with the thick brew, giving balance and complexity. Brewers yeast feasts upon the rich sugars, concluding its transformation into oatmeal stout. Pour Oat into a snifter, allow its thick tan head to slowly rise, releasing unbridled aromas. The color of Oat is as dark as a moonless night. The first sip reveals Oat's thick and nourishing taste. Like a haversack to a horse, a bottle of this stout is a meal in itself. Enjoy responsibly.",238,11,,,,fall,,,,"2 row pale, caramel, chocolate, black",kettle and columbus and willamette,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,choklat stout Imperial Chocolate Stout,,Imperial Stout,"The Popol Vuh, the sacred book of the Maya, unfolds a complex web of mystery around a beverage known as xocoatl (ch-co-atle). At Southern Tier, we're not surprised that hieroglyphs of the ancient Maya depict chocolate being poured for rulers and gods. Even through the many voyages of Columbus, the mystical bean remained nothing more than a strange currency of the native peoples. Moving through centuries, the circular journey of cacao has been realized in our brewing house, encompassing the complexity of the darkest, bitter-sweet candy together with the original frothy cold beverage of the ancient Maya to bring to you our Blackwater Series Choklat Stout. We have combined the finest ingredients to tempt your senses & renew the power & interrelation of history in every bottle.",195,11,,,,winter,,,,"2 row barley, caramel, chocolate ","kettle, chinook, and willamette",,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,Cuvée Series One,,,"ALE IMPRESSIONS: Light copper color, slight malt flavor with mild bitterness, dry finish with subtle hop aroma.\nFRENCH OAK IMPRESSIONS: Qualities of toasted coconut, almond biscotti and toasted almonds with a taste of honeysuckle.",,11,,,,fall ,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,Cuvée Series Two,,,"ALE IMPRESSIONS: Dark ruby red color, roasted malt flavor with apparent bitterness. Finishes with a rich caramel and espresso aroma. \nAMERICAN OAK IMPRESSIONS: Impressions of vanilla crème, classic crème brûlée and nougat. A little more oak flavor than series one, but with creamy intensity.",,11,,,,spring,,,,,,,,,,,,,,,,,,,,,,
Southern Tier Brewing Company,Cuvée Series Three,,,"ALE IMPRESSIONS: Dark amber color, rich caramel malt flavor with noticeable bitterness. Slightly sweet and roasty finish, with mild hop aroma.\nOAK IMPRESSIONS: Flavors of French and American oak imparting unique qualities present in series one and two. Impressions of vanilla, toasted coconut and almond.",,11,,,,summer,,,,,,,,,,,,,,,,,,,,,,
Minneapolis Town Hall Brewery,Dortmunder Local Export Lager,,Lager,"Light and refreshing German style golden lager brewed with classic German malt, Czech Saaz and American Sterling hops.",,5.4,,,,,,,,german,"czech saaz, and american sterling",,,,,,,,,,,,,,,,,
Minneapolis Town Hall Brewery,Masala Mama IPA,,IPA,"American style India Pale Ale (IPA) brewed using Amarillo, Cascade, Centennial and Mt. Hood hops.  A beer with crisp hop flavor and bitterness well balanced with American malt sweetness.",,6,,,,,,,,american,"amarillo, cascade, centennial and mt hood",,,,,,,,,,,,,,,,,
Minneapolis Town Hall Brewery,Hope and King Scotch Ale,,Scotch Ale,"Our interpretation of the classic ale that originated in Glasgow, Scotland.  A full-body ale, rich in malt complexity.  Brewed with both English and American barley and many, many specialty malts allowing hints of roasted chocolate, caramel and raisins with very little hop presence.",,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis Town Hall Brewery,Black H2O Oatmeal Stout,,Oatmeal Stout,Traditional oatmeal stout.  The silky smooth oatmeal lends itself perdectly to the intense roasted malt character of this dark robust stout.,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis Town Hall Brewery,West Bank Pub Ale,,British Pale Ale,British style pale ale featuring the the rich character of UK Golden Promise malt with a distinct finish from the use of British Fuggles and Golding hops.,,4.8,,,,,,,,,goldings,,,,,,,,,,,,,,,,,
Minneapolis Town Hall Brewery,Next: Tradtion Pale,,Pale Ale,,,5,,,,limited,,,,,,,,,,,,,,,,,,,,,,
Minneapolis Town Hall Brewery,T-Storm,,Ale,"AleThunderstorm is one of our customer's summer favorites.  Honey lemongrass ale... great to relieve the summer heat!  Watch out though!  It drinks easy, but carries a punch.",,7.2,,,,summer,,,,,,,,,,,,,,,,,,,,,,
Minneapolis Town Hall Brewery,Smoked Porter,,Porter,Cherry smoked malt gives this porter a camp-fire like taste,,6,,,,limited,,,,,,,,,,,,,,,,,,,,,,
Minneapolis Town Hall Brewery,Kolsch ,,kolsch,"Perfect for the tail end of summer... light and crisp ale from Germany:o made famous in Cologne, Germany",,5.3,,,,summer,,,,,,,,,,,,,,,,,,,,,,
Minneapolis Town Hall Brewery,Apricot Wheat,,wheat,"A light American wheat beer infused with natural apricot extract.  Crisp and refreshing, perfect for the patio season at Town Hall.",,5.5,,,,limited,,,,,,,,,,,,,,,,,,,,,,
Minneapolis Town Hall Brewery,Cherry Tripel,,Belgian Tripel,Mike's Belgian Tripel with dried tart cherries,,7.8,,,,limited,,,,,,,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,Pale Ale,,Pale Ale,,,,14,,35,,,,,"2 row, english crystal","columbus, cascade, crystal",,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,Liquid Gold,,Golden Ale,,,,15.5,,15,,,,,german pilsner and vienna,"crystal, sterling, cascade",,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,Smoked Porter,,smoked porter,,,,16,,45,,,,,"english pale, german smoke, german munich, german vienna, english chocolate, english roasted barley","goldings, willamette",,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,Captain's Reserve,,imperial IPA,,,,20,,80,,,,,"pale, english pale, english crystal","columbus, chinook, cascade",,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,Sun Block,,Belgian wit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,Rosso E Marrone,,American Sour Ale,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,Smoke From the Oat-Bourbon Barrel Aged,,smoked porter,,,,,,,fall,,,,,,,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,Smoke From the Oat-wine barrel aged,,smoked porter,,,,17.5,,35,spring,,,,"pale, chocolate, munich, special b, roasted","simcoe, east kent goldings",,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,Smoke from the oak- rum barrel aged,,smoked porter,,,,,,,fall,,,,,,,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,smoke from the oak- brandy barrel aged,,smoked porter,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,smoke from the oak-port barrel aged,,smoked porter,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,Xtra Gold,,American Trippel Ale,,,,22,,33,limited,,,,belgian pilsner,"simcoe, sterling, cascade, crystal, amarillo",,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,St. Vincent's Dubbel,,Belgian Abbey Ale,,,,,,,summer,,,,,,,,,,,,,,,,,,,,,,
Captain Lawrence Brewing Company,Nor' Easter Winter Warmer,,winter ale,,,12,25,,32,winter,,,,"pale, chocolate, munich, special b, roasted","simcoe, east kent goldings",,,,,,,,,,,,,,,,,
